"obrate","birth_fertility","population","ppgdp","pop_growth","ppimports","USborderpath","USimportpath","import_diff","export_diff","borders","border_diff","border_avg"
0.090201005,182.979,3887886,500,2.61,194.424425,11477,27.5,0.0595343383333333,0.09648389,3,0.0408749106666667,0.056884399
0.25,49.7564,5613380,14100,2.01,1838.464526,10793,10.5,0.095327736375,0.1191036485,6,0.150698511333333,0.116968155333333
0.197,11.8618,3525761,19100,-0.28,8744.211533,8831,10.7,0.048189899,0.0489301417142857,4,0.03739037425,0.20539037425
0.16020202,20.709,509074,81100,1.14,51603.49969,8146,5.2,0.0728922558333333,0.0446262625,3,0.0307340066666667,0.135333333333333
0.15,18.762,2082370,10500,0.24,3364.915937,9090,12.1,0.0436666666666667,0.0435,4,0.07909517775,0.14109517775
0.021,165.2285,22005222,900,2.95,168.5509012,13548,9,0.133656952375,0.1055,0,0.120495695981383,0.236032871548334
0.015025126,216.247,16323044,900,2.76,103.3508211,13637,5.1,0.0975179363333333,0.19187588925,3,0.0101198296666667,0.0217948716666667
0.163,54.7536,29179952,15800,1.54,6069.235481,12765,9.3,0.127285714285714,0.127333333333333,3,0.120333333333333,0.134
0.164158416,27.0648,394451,8800,-0.13,2451.508552,11567,10.8,0.114113154285714,0.083438944,0,0.115466246096045,0.226757284161528
0.045353535,286.7025,15494466,1100,2.61,163.4777217,11003,15,0.0452733215,0.041117845,7,0.0399461692857143,0.06321416
0.207,15.7743,409836,25800,0.36,17899.84286,9336,12.6,0.06125,0.0938571428571429,0,0.121191887602955,0.257113918843628
0.124187192,94.8318,68480,2500,1.87,1159.462617,7000,27.96,0.0935205253333333,0.062062632,0,0.123202922894061,0.207862522552522
0.158374384,138.3316,3359185,2200,2.32,849.6108431,9771,7.8,0.0542302941111111,0.06784800425,4,0.062846308,0.096340884
0.150707071,24.5284,1313095,15100,0.71,3928.885572,13548,13.6,0.0868020305,0.0781552727142857,0,0.120052539112419,0.264820744291307
0.236,42.8349,114975406,14800,1.09,3051.087291,3141,13.6,0.171666666666667,0.103,3,0.0802578486666667,0.258528476
0.75,58.558,106487,2200,-0.34,1246.161503,6000,11.81,0.67425,0.6276,0,0.120299493654817,0.19658949417437
0.15,19.375,3656843,3400,-1.01,1407.498216,9755,13.4,0.0534976958571429,0.0484967742,2,0.0397419355,0.1102580645
0.098,45.333,3179997,4800,1.47,2052.51766,12601,8.1,0.117,0.114666666666667,2,0.1055,0.1345
0.16,41.5443,32309239,5100,1.05,1250.106819,8210,8.6,0.0865,0.0762,2,0.027247525,0.132752475
0.015384615,212.436,23515934,1100,2.44,171.330639,13548,6.6,0.138150072,0.1082570094,6,0.0799056956666667,0.0933756093333333
0.030456853,50.8751,2165828,7500,0.82,2467.878336,13362,15,0.196751269,0.2000951775,4,0.08420685275,0.10443527925
0.824747475,82.0524,9378,5000,0.61,2132.650885,5000,23.92,0.717747475,0.717747475,0,0.118670950001478,0.221896827424379
0,52.6585,29890686,1300,1.77,180.6582827,11728,32.7,0.0245,0.162666666666667,2,0.0245,0.0245
0.125050505,19.3842,16730632,42700,0.45,29472.88542,8744,5.9,0.0845497835714286,0.023,2,0.0105,0.1185
0.265,28.0899,4327944,28000,0.86,8209.440788,6000,10,0.162833333333333,0.16125,0,0.115956335800141,0.261574783318011
0.286262626,39.7696,5727707,3200,1.07,1128.898528,4835,15.3,0.084303965,0.0820205226666667,2,0.109205976,0.17705665
0.02,358.4296,16344687,800,3.63,120.4672809,10767,9.8,0.04304329,0.1217852216,8,0.05430171075,0.07305171075
0.055,211.0574,170123740,2600,2.55,408.4673897,11806,9.1,0.087610101,0.1100084175,4,0.03736367475,0.05738880025
0.1,19.116,4707270,54200,0.33,18794.33302,9254,5.4,0.075007215,0.076410101,3,0.0723333333333333,0.172333333333333
0.11930131,69.8271,3090150,26900,2.04,6928.466256,10841,6.1,0.137385527142857,0.10436754,3,0.17796557,0.244267326666667
0.034563107,74.601,190291129,2800,1.55,188.2378868,10563,4.3,0.192883495,0.1060422705,4,0.036823824,0.0514577295
0.461111111,18.5588,21032,8100,0.36,5101.749715,6500,17.6,0.427361111,0.430111111,0,0.12104647937268,0.18798569802838
0.159405941,46.5831,3510045,14300,1.41,6538.377713,5474,13,0.1312435646,0.108696581166667,2,0.05105665,0.18805665
0.044778325,87.8688,6310129,2600,1.94,967.6505821,15367,4.7,0.0866030964285714,0.049592775,1,0.020778325,0.024
0.139405941,35.4732,6541591,5500,1.26,1843.588204,8708,14.3,0.13073922,0.0871958548571428,3,0.140074579333333,0.260543226333333
0.163,43.8077,29549517,10200,1.02,1251.120281,7499,12.5,0.0961666666666667,0.09225,5,0.0589055276,0.1795055276
0.043,78.687,103775002,4100,1.87,603.9990247,10500,10.8,0.103375,0.0718,0,0.120887468033284,0.213231020711014
0.18,13.0476,38415284,20600,-0.08,5414.511578,8740,11.8,0.0627070707142857,0.0479915825,7,0.0435779097142857,0.177153946571429
