country1,country2,obes_diff
Philippines,Saudi Arabia,0.313
Philippines,Singapore,0.026
Philippines,Thailand,0.035
Philippines,United States,0.296
Poland,China,0.151
Poland,Czech Republic,0.029
Poland,France,0.011
Poland,Germany,0.051
Poland,Italy,0.082
Poland,Netherlands,0.054949495
Poland,Russia,0.06
Portugal,France,0.027
Portugal,Germany,0.013
Portugal,Italy,0.044
Portugal,Netherlands,0.016949495
Portugal,Spain,0.014
Qatar,China,0.192941032
Qatar,France,0.052941032
Qatar,Germany,0.092941032
Qatar,Italy,0.123941032
Qatar,Japan,0.190941032
Qatar,Saudi Arabia,0.134058968
Qatar,United Arab Emirates,0.115058968
Qatar,United Kingdom,0.005058968
Qatar,United States,0.117058968
Romania,Austria,0.024
Romania,China,0.057
Romania,France,0.083
Romania,Germany,0.043
Romania,Hungary,0.091
Romania,Italy,0.012
Romania,Kazakhstan,0.009706806
Russia,China,0.211
Russia,Germany,0.111
Russia,Italy,0.142
Russia,Ukraine,0.105483871
Rwanda,China,0.018690722
Rwanda,Kenya,0.000309278
Rwanda,Tanzania,0.029690722
Rwanda,Uganda,0.000309278
Rwanda,United Arab Emirates,0.326690722
Rwanda,United States,0.328690722
Saint Kitts and Nevis,Algeria,0.086151616
Saint Kitts and Nevis,Trinidad and Tobago,0.168702408
Saint Kitts and Nevis,United States,0.143343434
Saint Lucia,Brazil,0.152265306
Saint Lucia,Trinidad and Tobago,0.101093668
Saint Lucia,United States,0.075734694
Saint Vincent and the Grenadines,China,0.125356436
Saint Vincent and the Grenadines,Norway,0.054356436
Saint Vincent and the Grenadines,Singapore,0.085356436
Saint Vincent and the Grenadines,Trinidad and Tobago,0.210002538
Saint Vincent and the Grenadines,United States,0.184643564
Samoa,Australia,0.346909091
Samoa,China,0.481909091
Samoa,Fiji,0.271909091
Samoa,Japan,0.479909091
Samoa,New Zealand,0.245909091
Samoa,Singapore,0.441909091
Samoa,United States,0.171909091
Sao Tome and Principe,France,0.133747475
Sao Tome and Principe,Gabon,0.074747475
Sao Tome and Principe,Portugal,0.106747475
Sao Tome and Principe,United States,0.303747475
Saudi Arabia,China,0.327
Saudi Arabia,Germany,0.227
Saudi Arabia,India,0.336
Saudi Arabia,Italy,0.258
Saudi Arabia,Japan,0.325
Saudi Arabia,South Korea,0.324
Saudi Arabia,United States,0.017
Senegal,China,0.041505051
Senegal,France,0.098494949
Senegal,Netherlands,0.054545454
Senegal,Niger,0.050505051
Senegal,Nigeria,0.015505051
Senegal,United Kingdom,0.156494949
Senegal,United States,0.268494949
Seychelles,France,0.082
Seychelles,Saudi Arabia,0.105
Seychelles,Singapore,0.182
Seychelles,South Africa,0.023791878
Seychelles,Spain,0.095
Sierra Leone,China,0.072538462
Sierra Leone,India,0.081538462
Sierra Leone,Malaysia,0.061461538
Sierra Leone,South Africa,0.12566966
Sierra Leone,United Kingdom,0.125461538
Sierra Leone,United States,0.237461538
Singapore,China,0.04
Singapore,Japan,0.038
Singapore,South Korea,0.037
Singapore,Malaysia,0.094
Singapore,Taiwan,0.069
Singapore,United States,0.27
Slovakia,Austria,0.033
Slovakia,China,0.114
Slovakia,Czech Republic,0.008
Slovakia,Germany,0.014
Slovakia,Hungary,0.034
Slovakia,Italy,0.045
Slovakia,Poland,0.037
Slovakia,Russia,0.097
Slovenia,Austria,0.04
Slovenia,China,0.121
Slovenia,Croatia,0.073
Slovenia,France,0.019
Slovenia,Germany,0.021
Slovenia,Italy,0.052
Solomon Islands,Australia,0.050859903
Solomon Islands,China,0.084140097
Solomon Islands,Malaysia,0.049859903
Solomon Islands,New Zealand,0.151859903
Solomon Islands,Singapore,0.044140097
Somalia,China,0.00889899
Somalia,Djibouti,0.02489899
Somalia,Egypt,0.28289899
Somalia,India,0.00010101
Somalia,Kenya,0.01010101
Somalia,Oman,0.0992003
